Test File Name,No saturation Result,Round Robin Saturation Result,Chunking Saturation Result,All Passed
0,F (20/20),F (20/20),F (20/20),F
1,F (20/20),F (20/20),F (20/20),F
2,F (20/20),F (20/20),F (20/20),F
3,F (20/20),F (20/20),F (20/20),F
4,F (20/20),F (20/20),F (20/20),F
5,F (20/20),F (20/20),F (20/20),F
6,F (20/20),F (20/20),F (20/20),F
7,F (20/20),F (20/20),F (20/20),F
8,F (20/20),F (20/20),F (20/20),F
9,F (20/20),F (20/20),F (20/20),F
10,F (20/20),F (20/20),F (20/20),F
11,F (20/20),F (20/20),F (20/20),F
12,F (20/20),F (20/20),F (20/20),F
13,F (20/20),F (20/20),F (20/20),F
14,F (20/20),F (20/20),F (20/20),F
15,F (20/20),F (20/20),F (20/20),F
16,F (20/20),F (20/20),F (20/20),F
17,F (20/20),F (20/20),F (20/20),F
18,F (20/20),F (20/20),F (20/20),F
19,F (20/20),F (20/20),F (20/20),F
20,F (20/20),F (20/20),F (20/20),F
Total failures:,420,420,420,21
