time, tests_found
0, 1
3.000000073, 2
4.000000306, 3
4.999999912, 4
6.000000145, 5
6.000000145, 6
43320, 7
43323, 8
43323, 9
43324, 10
43324, 11
43324, 12
71445, 13
71449, 14
71450, 15
71450, 16
71450, 17
71450, 18
89073, 19
89076, 20
89076, 21
89077, 22
89077, 23
89078, 24
89078, 25
89078, 26
89078, 27
154353, 28
154356, 29
154357, 30
154357, 31
154357, 32
154358, 33
154358, 34
154358, 35
154359, 36
154359, 37
154360, 38
154360, 39
166655, 40
166659, 41
166659, 42
166660, 43
166660, 44
166660, 45
188111, 46
188112, 47
188113, 48
188113, 49
188113, 50
188113, 51
223688, 52
223691, 53
223691, 54
223691, 55
223691, 56
223691, 57
223691, 58
223691, 59
223692, 60
223692, 61
223693, 62
223693, 63
289723, 64
289734, 65
289735, 66
289735, 67
289735, 68
289735, 69
328616, 70
328622, 71
328622, 72
328622, 73
328622, 74
328623, 75
328623, 76
328623, 77
328623, 78
328623, 79
328623, 80
328625, 81
328627, 82
328627, 83
328628, 84
328628, 85
328629, 86
328629, 87
459693, 88
459694, 89
459694, 90
459695, 91
459695, 92
459695, 93
528178, 94
528185, 95
528185, 96
528185, 97
528185, 98
528185, 99
564077, 100
564084, 101
564085, 102
564085, 103
564085, 104
564085, 105
